id,epic,title,priority,owner,description,acceptance,target_sprint
HOC-E5-001,E5 Meal Buddy Flow,Create Meal Buddy card from AI analysis,P0,Mobile/Data,"After analysis save, create card and route to Meal Buddy card area.",Created card is visible and references saved meal,S3
HOC-E5-002,E5 Meal Buddy Flow,Create Meal Buddy card from restaurant card,P0,Mobile/Data,Restaurant list/detail card CTA creates meal buddy card with date selector near restaurant card.,Card appears in correct page and created confirmation is obvious,S3
HOC-E5-003,E5 Meal Buddy Flow,Enforce free/premium card and invite limits,P1,Mobile/Data,Implement daily limits and overwrite-oldest behavior for demo mode.,"Free=2/day, premium=5/day; clear disabled/limit states",S3
HOC-E5-004,E5 Meal Buddy Flow,Fix chat sorting and return routing,P0,Mobile,"Latest message moves chat to top; return from chat goes to chat list, not matched tab.",BO/LEO/Ivy regression cases pass,S2
HOC-E5-005,E5 Meal Buddy Flow,Accept invitation updates friend/match list,P0,Mobile/Data,Accepting chat/meal invite creates or updates match/friend state.,Accepted user appears in friends/matches and chat remains available,S3
HOC-E6-001,E6 Group Table Flow,Separate group table state from one-to-one chat,P1,Mobile/Data,Create groupTables repository and groupChat linkage separate from matches/chats.,多人飯局 does not route to one-to-one chat incorrectly,S4
HOC-E6-002,E6 Group Table Flow,Group participant social-card display,P1,Mobile,Participants render from shared social card/user objects.,Participant card click opens correct community/social card,S4
HOC-E6-003,E6 Group Table Flow,Cancellation reason system message,P2,Mobile/Data,Cancel participation requires reason and posts system message.,Cancellation updates table state and group chat system event,S5
HOC-E7-001,E7 Restaurant Surface,Restaurant card UI cleanup,P1,Mobile/UI,Make restaurant cards match target layout; remove duplicate CTAs; keep card readable.,Recommended dish CTA asks to create Meal Buddy card; no duplicate option,S3
HOC-E7-002,E7 Restaurant Surface,Menu item nutrition card integration,P1,Mobile/Data,Menu items show calories/macros/tags and source confidence/verification state.,Menu card feeds AI/restaurant/meal-buddy flows consistently,S4
HOC-E8-001,E8 Restaurant Admin,Menu CRUD demo surface,P1,Web/Backend,"Create/edit menu item with ingredients, portion, cooking, nutrition estimate, price, tags.",Admin-created item appears in restaurant menu demo data,S4
HOC-E8-002,E8 Restaurant Admin,Nutrition disclosure review status,P2,Web/Admin,Add status draft/submitted/approved/rejected and admin review placeholder.,Status controls consumer verified badge display,S5
HOC-E9-001,E9 Supabase Backend Migration,Create core Postgres migrations,P0,Backend/Data,Implement users/profiles/meals/restaurants/menu_items/social_cards/meal_buddy/matches/chats/group_tables schema.,Migration runs cleanly in empty Supabase project,S2
HOC-E9-002,E9 Supabase Backend Migration,Implement RLS policy baseline,P0,Backend/Security,Add least-privilege RLS for user-owned data and role-gated restaurant/admin data.,No table containing user data is public without explicit policy,S3
HOC-E9-003,E9 Supabase Backend Migration,Storage buckets and photo metadata,P1,Backend/Data,Create buckets for meal photos/restaurant assets and link metadata to records.,Upload metadata can be associated with meal/restaurant item,S3
HOC-E9-004,E9 Supabase Backend Migration,Edge Function contract stubs,P1,Backend/AI,"Stub analyzeMeal, recommendNextMeal, recommendBuddyCandidates, geocode/search if needed.",Mobile can call typed client with mock response fallback,S4
HOC-E10-001,E10 QA Analytics Release,Manual regression suite,P0,QA,"Create route-by-route regression checklist for AI, intake, meal buddy, restaurant, chat.",QA checklist can be run by non-engineer,S2
HOC-E10-002,E10 QA Analytics Release,Core analytics event map implementation,P1,Mobile/Backend,"Log events for analysis_started, meal_saved, buddy_card_created, invite_sent, chat_started, table_joined.",Events visible in debug logger or analytics sink,S4
HOC-E10-003,E10 QA Analytics Release,Release checklist and feature flags,P1,Platform,Add demo/prod flags and release checklist gates.,Demo mode can be locked for investor presentation,S5
HOC-E11-001,E11 Investor Demo,3-minute demo route hardening,P1,Product/Engineering,"Ensure narrative demo path has seed data, clear CTA, no dead links.",Founder can run demo without engineering help,S4
HOC-E11-002,E11 Investor Demo,Investor web demo content alignment,P2,Web/Product,Align landing/demo text with pitch and avoid unreviewed claims.,Investor page labels projections/demo data clearly,S6
